"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Punta Galea","Bizkaia","","","","20 (12:00)","9 (16:50)","0","0","0","0","0"
"Amurrio","Araba/Álava","10.0 (16:30)","-0.5 (23:50)","4.8","14 (09:30)","8 (09:30)","0","0","0","0","0"
"Orozko","Bizkaia","12.8 (15:40)","1.1 (23:40)","7","12 (16:00)","8 (16:00)","0","0","0","0","0"
"Abadiño","Bizkaia","11.1 (16:00)","0.5 (02:00)","5.8","","","0","0","0","0","0"
"Amorebieta--Etxano","Bizkaia","13.2 (15:40)","1.5 (06:40)","7.3","14 (11:50)","8 (13:30)","0","0","0","0","0"
"Balmaseda","Bizkaia","10.7 (15:40)","-0.6 (23:59)","5","","","0","0","0","0","0"
"Güeñes","Bizkaia","10.8 (15:50)","2.0 (23:59)","6.4","12 (13:50)","6 (15:40)","0","0","0","0","0"
"Bilbao Aeropuerto","Bizkaia","13.1 (16:20)","4.6 (01:20)","8.9","22 (11:50)","14 (22:20)","0","0","0","0","0"
"Sopuerta","Bizkaia","13.1 (16:30)","1.7 (00:50)","7.4","17 (17:40)","9 (12:10)","0","0","0","0","0"
"Castro Urdiales","Cantabria","10.5 (13:10)","4.6 (03:20)","7.5","28 (08:30)","16 (10:10)","0","0","0","0","0"
"Ramales de la Victoria","Cantabria","12.1 (15:50)","0.1 (02:30)","6.1","11 (12:30)","5 (12:40)","0","0","0","0","0"
"Barcena de Cicero, Treto","Cantabria","10.3 (14:50)","0.5 (06:50)","5.4","30 (16:20)","20 (16:20)","0","0","0","0","0"
"Soba, Alto Miera","Cantabria","13.6 (16:30)","0.9 (00:00)","7.3","25 (22:10)","13 (22:10)","0","0","0","0","0"
"Santander Aeropuerto","Cantabria","11.8 (14:00)","-1.8 (08:10)","5","30 (16:50)","25 (17:00)","0","0","0","0","0"
"Santander","Cantabria","10.0 (13:50)","4.9 (08:50)","7.5","42 (18:30)","33 (18:40)","0","0","0","0","0"
"Villacarriedo","Cantabria","12.3 (15:10)","-2.5 (08:40)","4.9","11 (15:50)","8 (15:50)","0","0","0","0","0"
"Los Tojos, Bárcena Mayor","Cantabria","13.6 (14:50)","-4.0 (08:30)","4.8","18 (14:30)","11 (14:40)","0","0","0","0","0"
"San Felices de Buelna","Cantabria","13.8 (16:10)","0.0 (02:30)","6.9","9 (05:50)","5 (15:10)","0","0","0","0","0"
"Torrelavega, Sierrapando","Cantabria","12.4 (14:20)","0.1 (08:40)","6.2","20 (17:20)","15 (02:20)","0","0","0","0","0"
"San Vicente de la Barquera","Cantabria","10.7 (14:50)","0.1 (08:20)","5.4","28 (16:10)","18 (16:10)","0","0","0","0","0"
"Camaleño, Fuente De","Cantabria","17.2 (15:10)","2.4 (00:00)","9.8","15 (14:40)","6 (15:20)","0","0","0","0","0"
"Cillórigo de Liébana, Tama","Cantabria","14.0 (16:10)","-4.9 (08:50)","4.5","15 (15:30)","10 (15:40)","0","0","0","0","0"
"Tresviso","Cantabria","13.1 (12:10)","5.0 (00:00)","9.1","17 (07:00)","13 (07:00)","0","0","0","0","0"
"Posada de Valdeón, Soto","León","12.3 (15:10)","-3.3 (00:00)","4.5","","","0","0","0","0","0"
"Cabrales","Asturias","12.0 (15:00)","0.4 (08:30)","6.2","18 (18:40)","13 (18:40)","0","0","0","0","0"
"Llanes","Asturias","12.1 (15:30)","4.9 (08:40)","8.5","33 (12:10)","23 (13:40)","0","0","0","0","0"
"Amieva, Panizales","Asturias","13.9 (15:50)","-2.3 (08:10)","5.8","17 (16:00)","8 (15:40)","0","0","0","0","0"
"Piloña, Bargaéu","Asturias","12.2 (15:30)","-1.6 (09:00)","5.3","19 (14:20)","9 (14:20)","0.2","0","0.2","0","0"
"Colunga","Asturias","11.0 (15:40)","5.6 (07:20)","8.3","41 (14:00)","24 (14:20)","0","0","0","0","0"
"Gijón, Campus","Asturias","12.6 (14:40)","5.4 (09:20)","9","27 (12:10)","15 (14:10)","0","0","0","0","0"
"Cabo Peñas","Asturias","10.9 (15:00)","6.8 (09:00)","8.8","48 (21:20)","31 (14:40)","0","0","0","0","0"
"Asturias Aeropuerto","Asturias","11.4 (14:50)","4.8 (03:00)","8.1","39 (12:00)","24 (11:40)","","0","","0","0"
"Pajares-Valgrande","Asturias","12.8 (13:40)","5.7 (00:40)","9.3","34 (05:30)","23 (05:30)","0","0","0","0","0"
"Lena, Ronzón","Asturias","11.5 (16:00)","-3.8 (08:50)","3.9","14 (04:00)","8 (21:50)","0","0","0","0","0"
"Aller, Felechosa","Asturias","13.1 (13:30)","-1.6 (03:40)","5.8","17 (10:30)","10 (10:20)","0","0","0","0","0"
"Mieres, Baiña","Asturias","13.1 (15:50)","-1.8 (08:30)","5.7","10 (14:20)","7 (14:30)","0","0","0","0","0"
"Oviedo","Asturias","11.1 (16:20)","-0.4 (09:10)","5.4","17 (19:10)","10 (19:10)","0","0","0","0","0"
"Tineo, Soutu","Asturias","12.6 (15:30)","0.1 (09:40)","6.4","15 (15:20)","9 (15:00)","0","0","0","0","0"
"Pola de Somiedo","Asturias","14.0 (15:00)","-4.3 (04:50)","4.8","13 (14:20)","5 (14:20)","0","0","0","0","0"
"Salas, Camuño","Asturias","13.2 (16:30)","1.9 (09:40)","7.5","17 (19:50)","10 (19:50)","0","0","0","0","0"
"Cabo Busto","Asturias","11.2 (15:10)","3.4 (07:30)","7.3","53 (19:50)","29 (19:40)","0","0","0","0","0"
