"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Santander","Cantabria","12.7 (13:30)","9.0 (00:50)","10.8","69 (05:30)","41 (11:00)","9.2","3.8","0.4","4.2","0.8"
"Villacarriedo","Cantabria","10.4 (13:30)","6.3 (22:50)","8.3","36 (06:00)","18 (04:30)","22.8","10.2","10.6","2","0"
"Los Tojos, Bárcena Mayor","Cantabria","8.6 (14:20)","1.1 (23:50)","4.9","36 (11:10)","14 (14:40)","7.8","5.4","2","0.4","0"
"San Felices de Buelna","Cantabria","11.6 (13:20)","6.3 (22:30)","9","35 (11:20)","17 (13:30)","0","0","0","0","0"
"Torrelavega, Sierrapando","Cantabria","11.7 (13:10)","8.1 (00:00)","9.9","50 (13:30)","28 (04:00)","13","4","7.8","1.2","0"
"San Vicente de la Barquera","Cantabria","12.5 (13:20)","9.4 (06:30)","10.9","50 (15:20)","31 (15:20)","8","4.9","1.7","1.4","0"
"Camaleño, Fuente De","Cantabria","8.0 (14:30)","-0.5 (23:59)","3.8","30 (12:20)","12 (16:10)","1.6","1.6","0","0","0"
"Cillórigo de Liébana, Tama","Cantabria","12.2 (14:20)","0.9 (23:50)","6.5","39 (11:10)","21 (12:10)","1.8","1.2","0.6","0","0"
"Tresviso","Cantabria","6.3 (01:00)","2.8 (09:30)","4.6","60 (07:20)","36 (07:30)","12.6","7.2","5.2","0.2","0"
"Posada de Valdeón, Soto","León","4.8 (15:00)","0.9 (23:00)","2.9","","","12.2","8.2","3.6","0.4","0"
"Cabrales","Asturias","9.7 (13:20)","6.0 (08:10)","7.8","55 (04:30)","33 (04:30)","7","3","3.4","0.6","0"
"Llanes","Asturias","13.3 (13:20)","9.7 (09:20)","11.5","45 (02:50)","25 (02:50)","5.2","2.6","1.8","0.8","0"
"Amieva, Panizales","Asturias","11.8 (13:20)","5.4 (21:10)","8.6","16 (15:00)","7 (13:10)","7.4","4.2","2.4","0.8","0"
"Piloña, Bargaéu","Asturias","11.2 (12:30)","6.3 (21:30)","8.8","22 (13:20)","9 (12:40)","3.8","2.4","0.8","0.6","0"
"Colunga","Asturias","13.5 (14:10)","8.7 (09:10)","11.1","28 (14:50)","16 (13:10)","8.6","6.2","2.2","0.2","0"
"Gijón, Campus","Asturias","13.0 (16:10)","8.4 (22:30)","10.7","28 (09:50)","14 (09:50)","6.4","4.4","1.4","0.6","0"
"Cabo Peñas","Asturias","12.1 (16:10)","9.4 (09:20)","10.8","59 (09:10)","35 (04:30)","3.2","2.2","0.6","0.4","0"
"Asturias Aeropuerto","Asturias","11.7 (15:30)","7.5 (23:50)","9.6","48 (00:40)","34 (00:50)","6","2.9","2.2","0.3","0.6"
"Pajares-Valgrande","Asturias","1.8 (01:50)","-3.1 (23:59)","-0.6","56 (05:00)","23 (04:50)","7.7","5.2","2.2","0.3","0"
"Lena, Ronzón","Asturias","10.2 (12:40)","2.7 (23:59)","6.4","19 (04:00)","9 (21:30)","0.6","0.6","0","0","0"
"Aller, Felechosa","Asturias","6.1 (13:10)","2.4 (21:10)","4.3","27 (04:30)","12 (04:30)","14.6","8","5.2","1.4","0"
"Mieres, Baiña","Asturias","12.2 (14:40)","6.3 (20:00)","9.3","24 (13:20)","8 (13:10)","4.2","3","1","0.2","0"
"Oviedo","Asturias","9.6 (14:30)","6.7 (09:10)","8.2","28 (12:50)","15 (12:50)","5.6","4","0.8","0.8","0"
"Tineo, Soutu","Asturias","10.6 (14:20)","5.2 (23:59)","7.9","17 (17:00)","10 (23:20)","2.6","1.2","1.4","0","0"
"Pola de Somiedo","Asturias","7.8 (13:30)","1.4 (23:59)","4.6","26 (04:30)","12 (04:20)","4.2","3.6","0.6","0","0"
"Salas, Camuño","Asturias","12.5 (14:00)","5.3 (23:59)","8.9","30 (13:40)","14 (13:40)","4.8","2","2.8","0","0"
"Cabo Busto","Asturias","12.9 (13:40)","9.6 (05:20)","11.3","62 (00:20)","41 (05:10)","2.6","2.4","0","0","0.2"
"Cervantes","Lugo","5.2 (12:50)","1.8 (09:20)","3.5","33 (11:00)","14 (09:20)","3.2","2.8","0.2","0","0.2"
"Degaña","Asturias","2.9 (02:10)","-0.8 (21:10)","1.1","28 (09:50)","8 (11:20)","8.8","7","1.4","0.4","0"
"Ibias, San Antolin","Asturias","7.1 (12:10)","3.3 (23:30)","5.2","23 (05:40)","12 (21:30)","1.8","1.4","0.2","0.2","0"
"Villayón, Oneta","Asturias","9.4 (13:20)","5.6 (23:30)","7.5","39 (03:50)","25 (03:50)","4","2.4","1.6","0","0"
"Castropol","Asturias","14.1 (15:00)","7.0 (10:00)","10.6","22 (03:10)","11 (22:00)","2.3","1.7","0.6","0","0"
"Taramundi, Ouria","Asturias","10.5 (16:00)","5.6 (22:30)","8","19 (23:59)","10 (06:30)","0","0","0","0","0"
"Ribadeo","Lugo","13.6 (16:20)","8.3 (08:30)","11","28 (23:59)","17 (23:20)","1.2","0.8","0.2","0.2","0"
"Mondoñedo","Lugo","12.5 (15:30)","5.0 (09:40)","8.8","","","1","0.8","0.2","0","0"
"Burela","Lugo","12.9 (13:30)","9.1 (06:10)","11","","","1.8","1.2","0.4","0.2","0"
"Estaca de Bares","A Coruña","12.7 (15:30)","9.9 (23:40)","11.3","52 (11:20)","40 (18:00)","0","0","0","0","0"
"Ferrol","A Coruña","14.0 (15:20)","7.1 (08:30)","10.5","35 (02:30)","11 (02:50)","2","1.9","0","0","0.1"
"As Pontes","A Coruña","10.6 (13:50)","3.1 (09:20)","6.9","","","1","0.6","0.2","0","0.2"
"A Coruña","A Coruña","13.6 (13:50)","9.9 (23:40)","11.8","45 (02:50)","25 (02:50)","0.2","0","0","0","0.2"
"A Coruña Bens","A Coruña","12.5 (13:50)","9.0 (23:30)","10.8","36 (02:50)","32 (02:50)","0.1","0.1","0","0","0"
"A Coruña Aeropuerto","A Coruña","12.9 (14:10)","6.5 (23:50)","9.7","41 (03:00)","25 (03:10)","0","0","0","0","0"
"Carballo, Depuradora","A Coruña","12.9 (15:50)","5.4 (23:59)","9.1","","","0.6","0.4","0.2","0","0"
"Cabo Vilán","A Coruña","13.4 (15:30)","9.4 (22:40)","11.4","47 (03:20)","36 (03:20)","0.2","0","0","0.2","0"
"Vimianzo","A Coruña","10.8 (14:40)","3.7 (23:59)","7.3","","","0.8","0.6","0.2","0","0"
"Fisterra","A Coruña","11.2 (16:20)","9.5 (06:10)","10.3","60 (01:00)","40 (01:00)","0.2","0.2","0","0","0"
"Mazaricos","A Coruña","10.2 (14:40)","5.8 (22:40)","8","","","0.6","0.6","0","0","0"
"Sobrado","A Coruña","13.1 (16:30)","2.4 (09:40)","7.8","","","1.6","1.4","0.2","0","0"
"Santiago de Compostela Aeropuerto","A Coruña","11.4 (15:10)","3.8 (08:00)","7.6","35 (01:50)","21 (01:50)","","0.3","0.6","0",""
"Noia","A Coruña","12.1 (15:20)","6.1 (09:00)","9.1","14 (16:00)","3 (15:20)","0.6","0.4","0.2","0","0"
"Monte Iroite","A Coruña","","","","","","0.9","0.8","0.1","0","0"
"Boiro","A Coruña","13.7 (16:10)","4.5 (23:59)","9.1","","","0","0","0","0","0"
"Monterroso","Lugo","8.5 (15:40)","4.3 (08:20)","6.4","","","","","","",""
"Silleda","Pontevedra","11.7 (16:40)","3.3 (23:59)","7.5","18 (02:40)","6 (02:10)","1","1","0","0","0"
"A Estrada","Pontevedra","11.2 (16:00)","4.2 (23:40)","7.7","","","","","","",""
"Padrón","A Coruña","12.9 (15:20)","3.9 (23:59)","8.4","14 (04:50)","10 (15:40)","0.1","0","0.1","0","0"
"Santiago de Compostela","A Coruña","12.9 (16:00)","5.7 (09:00)","9.3","19 (13:50)","7 (13:50)","0","0","0","0","0"
"Rois, Casas do Porto","A Coruña","","","","","","","0","0.2","","0"
"Vilagarcía de Arousa","Pontevedra","14.4 (16:30)","5.7 (23:59)","10","22 (14:30)","13 (14:20)","0","0","0","0","0"
"Pontevedra","Pontevedra","12.9 (13:50)","6.5 (09:10)","9.7","22 (13:30)","12 (23:40)","0","0","0","0","0"
"A Lama","Pontevedra","11.0 (14:10)","2.3 (23:40)","6.6","23 (13:10)","11 (10:50)","0.2","0.2","0","0","0"
"Vigo Aeropuerto","Pontevedra","12.4 (13:30)","6.0 (23:59)","9.2","24 (14:50)","15 (15:10)","0","0","0","0","0"
"Vigo","Pontevedra","13.6 (14:10)","7.2 (09:00)","10.4","22 (14:20)","9 (14:10)","0","0","0","0","0"
"Lugo Aeropuerto","Lugo","10.7 (16:30)","1.6 (09:00)","6.1","12 (00:30)","7 (09:10)","0.6","0.4","0.2","0","0"
"Lugo","Lugo","9.4 (15:40)","3.3 (09:30)","6.3","16 (02:10)","7 (14:20)","0.2","0.2","0","0","0"
"O Páramo","Lugo","10.3 (14:00)","2.6 (23:59)","6.5","","","0","0","0","0","0"
"Becerreá","Lugo","4.2 (00:30)","1.3 (09:40)","2.7","32 (01:40)","19 (01:30)","1.6","1.4","0","0.2","0"
"O Saviñao","Lugo","","","","","","","","","",""
"Villablino","León","8.0 (16:20)","0.1 (21:00)","4.1","33 (05:20)","19 (12:10)","1.8","1.6","0.2","0","0"
"Puerto de Leitariegos","Asturias","1.7 (01:40)","-1.9 (21:30)","-0.1","61 (11:00)","42 (11:00)","","","","0","0"
"Ponferrada","León","11.8 (15:20)","1.7 (23:59)","6.8","22 (15:40)","10 (16:50)","0","0","0","0","0"
"Vega de Espinareda","León","10.5 (14:00)","-0.7 (23:50)","4.9","","","0.2","0.2","0","0","0"
"O Barco de Valdeorras","Ourense","11.1 (16:10)","2.7 (23:50)","6.9","","","0","0","0","0","0"
"A Pobra de Trives","Ourense","8.2 (13:50)","0.9 (23:59)","4.5","29 (02:40)","10 (14:40)","1","1","0","0","0"
"Chandrexa de Queixa","Ourense","5.6 (14:10)","-0.3 (23:59)","2.6","29 (10:10)","12 (03:20)","1.8","1.6","0.2","0","0"
"Folgoso do Courel","Lugo","10.6 (15:20)","0.8 (23:59)","5.7","","","1","1","0","0","0"
"Monforte de Lemos","Lugo","13.1 (14:30)","0.9 (23:59)","7","19 (13:50)","10 (13:20)","0.2","0.2","0","0","0"
"Ourense","Ourense","14.1 (16:30)","3.5 (23:59)","8.8","19 (14:10)","10 (14:10)","0","0","0","0","0"
"Beariz","Ourense","10.6 (14:10)","-0.7 (23:59)","5","","","0.8","0.6","0.2","0","0"
"O Carballiño","Ourense","12.6 (13:20)","2.4 (23:59)","7.5","22 (15:10)","9 (12:30)","0.2","0.2","0","0","0"
"Ribadavia","Ourense","14.2 (14:50)","3.6 (23:59)","8.9","19 (15:00)","10 (15:00)","0","0","0","0","0"
"Allariz","Ourense","10.5 (17:00)","0.8 (23:59)","5.7","","","0.4","0.4","0","0","0"
"A Cañiza","Pontevedra","10.8 (14:40)","2.8 (23:59)","6.8","","","0.2","0","0","0.2","0"
"Ponteareas, Canedo","Pontevedra","15.1 (16:40)","4.0 (23:59)","9.6","","","","","","",""
"O Rosal","Pontevedra","14.4 (16:00)","6.3 (23:59)","10.3","","","0.2","0.2","0","0","0"
"Xinzo de Limia","Ourense","8.6 (15:10)","-1.1 (23:59)","3.8","27 (04:20)","17 (04:20)","0.4","0.3","0.1","0","0"
"Muiños","Ourense","","","","","","","","","",""
"Santillana del Mar, Altamira","Cantabria","10.9 (13:00)","8.3 (09:00)","9.6","44 (15:20)","15 (15:20)","15.6","4.4","8.8","2.4","0"
"Vinuesa, Quintanarejo","Soria","5.5 (12:50)","-1.0 (22:20)","2.3","","","0.8","0","0","0.6","0.2"
"La Póveda de Soria, Barriomartín","Soria","3.2 (12:40)","0.8 (21:40)","2","44 (05:40)","24 (05:40)","1","0","0.2","0.4","0.4"
"Soria","Soria","9.8 (15:10)","-1.1 (03:00)","4.4","30 (22:30)","13 (14:30)","0","0","0","0","0"
"Lubia","Soria","8.8 (15:50)","-1.0 (01:50)","3.9","37 (04:30)","24 (04:30)","0.2","0","0","0.2","0"
"Morón de Almazán","Soria","7.6 (16:30)","-0.5 (23:59)","3.5","40 (12:30)","31 (11:30)","0","0","0","0","0"
"La Riba de Escalote","Soria","6.1 (15:50)","0.1 (23:59)","3.1","49 (16:20)","36 (16:20)","0","0","0","0","0"
"Ucero","Soria","8.0 (14:00)","-0.6 (23:59)","3.7","","","0","0","0","0","0"
"Burgo de Osma","Soria","8.2 (15:00)","0.4 (01:50)","4.3","42 (14:40)","30 (14:40)","0","0","0","0","0"
"Liceras","Soria","2.8 (16:30)","-1.0 (00:00)","0.9","33 (00:10)","26 (00:10)","2.6","0","0.2","2.4","0"
"Coruña del Conde","Burgos","6.3 (14:10)","0.4 (00:30)","3.4","39 (13:30)","26 (13:30)","0.2","0.2","0","0","0"
"Aranda de Duero","Burgos","6.6 (15:40)","-1.8 (23:50)","2.4","24 (15:40)","10 (12:20)","0","0","0","0","0"
"Fresno de Cantespino","Segovia","4.9 (16:20)","-1.0 (00:10)","2","23 (12:40)","16 (13:30)","0","0","0","0","0"
"Aldeanueva de Serrezuela","Segovia","2.7 (16:30)","-0.6 (00:00)","1.1","17 (15:20)","12 (23:59)","0","0","0","0","0"
"La Pinilla, estación de esquí","Segovia","-2.1 (06:00)","-6.5 (02:30)","-4.3","38 (05:10)","19 (13:30)","0","0","0","0","0"
"Peñafiel","Valladolid","5.7 (16:50)","-0.9 (23:50)","2.4","","","0","0","0","0","0"
"Sardón de Duero","Valladolid","9.0 (17:30)","-1.9 (23:59)","3.6","14 (13:30)","8 (13:40)","0","0","0","0","0"
"Pedraza","Segovia","3.1 (14:40)","-2.3 (01:10)","0.4","13 (16:20)","8 (04:20)","0.4","0","0.2","0.2","0"
"Cuéllar","Segovia","6.0 (15:40)","-3.9 (22:50)","1","12 (15:20)","7 (15:30)","0","0","0","0","0"
"Cervera de Pisuerga","Palencia","8.7 (15:30)","-4.9 (03:00)","1.9","26 (15:00)","11 (17:00)","6","0","0.2","5.8","0"
"Aguilar de Campoo","Palencia","7.1 (14:30)","-1.6 (05:20)","2.7","18 (16:00)","10 (14:40)","0","0","0","0","0"
"Villaeles de Valdavia","Palencia","5.3 (16:40)","-1.6 (10:20)","1.9","20 (14:40)","13 (14:40)","0","0","0","0","0"
"Villadiego","Burgos","4.7 (16:40)","-0.4 (23:59)","2.1","19 (12:50)","13 (12:30)","0","0","0","0","0"
"Pedrosa del Príncipe","Burgos","7.5 (17:00)","-1.0 (23:10)","3.3","13 (13:50)","6 (11:10)","0","0","0","0","0"
"Ólvega","Soria","5.2 (16:30)","-2.0 (02:00)","1.6","38 (16:40)","24 (16:30)","0.4","0","0","0.4","0"
"Palacios de la Sierra","Burgos","","","","","","","0","1.2","",""
"Monterrubio de la Demanda","Burgos","5.0 (14:30)","-1.8 (00:00)","1.6","32 (09:10)","18 (15:10)","0.2","0","0.2","0","0"
"Villamayor de los Montes","Burgos","6.2 (13:40)","0.5 (23:10)","3.3","26 (14:50)","14 (14:50)","0","0","0","0","0"
"Burgos Aeropuerto","Burgos","7.4 (15:40)","-1.3 (23:59)","3.1","40 (12:00)","24 (13:40)","0","0","0","0","0"
"Velilla del Río Carrión, Camporredondo de Alba","Palencia","5.1 (14:00)","-2.3 (21:50)","1.4","36 (15:10)","21 (00:20)","3.2","0","0.6","2.6","0"
"Carrión de los Condes","Palencia","7.9 (16:30)","-1.6 (23:50)","3.2","16 (05:10)","8 (15:50)","0","0","0","0","0"
"Autilla del Pino","Palencia","7.2 (16:30)","-0.5 (23:20)","3.3","19 (10:10)","14 (07:00)","0","0","0","0","0"
"Palencia","Palencia","8.3 (15:50)","-0.8 (23:59)","3.8","17 (07:20)","10 (07:30)","0","0","0","0","0"
"Valladolid","Valladolid","8.6 (14:40)","2.2 (23:59)","5.4","15 (16:10)","8 (16:10)","0","0","0","0","0"
"Muñotello","Ávila","5.1 (16:00)","-2.6 (06:20)","1.3","13 (12:30)","8 (20:20)","0","0","0","0","0"
"Ávila","Ávila","3.7 (16:00)","-0.6 (23:50)","1.6","27 (11:50)","14 (11:50)","0","0","0","0","0"
"Arevalo","Ávila","6.7 (16:00)","-0.5 (23:59)","3.1","18 (11:50)","12 (12:00)","0","0","0","0","0"
"Puerto de Navacerrada","Madrid","-1.3 (11:30)","-6.6 (04:40)","-3.9","37 (09:40)","25 (00:10)","0.2","0","0.2","0","0"
"Segovia","Segovia","","","","","","","0","","",""
"San Rafael","Segovia","1.6 (15:30)","-1.9 (00:00)","-0.1","","","2.2","0","0.2","2","0"
"Miguelañez","Segovia","4.8 (15:20)","1.5 (00:00)","3.2","18 (23:00)","14 (07:10)","0","0","0","0","0"
"La Covatilla, estación de esquí","Salamanca","0.6 (23:50)","-2.7 (05:20)","-1.1","","","0.2","0","0.2","0","0"
"Olmedo, Depósito de Agua","Valladolid","7.3 (16:00)","0.4 (23:59)","3.9","16 (23:00)","14 (22:50)","0","0","0","0","0"
"Rueda","Valladolid","7.9 (16:00)","0.7 (23:50)","4.3","","","0.2","0","0","0.2","0"
"Rivilla de Barajas","Ávila","5.7 (15:10)","0.5 (06:30)","3.1","13 (12:40)","9 (12:20)","0","0","0","0","0"
"Fuente el Sol","Valladolid","10.5 (16:20)","-0.5 (23:50)","5","15 (11:40)","9 (11:30)","0","0","0","0","0"
"Morales del Toro","Zamora","10.3 (16:00)","0.5 (23:59)","5.4","16 (11:20)","10 (11:20)","0","0","0","0","0"
