"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Ripoll","Girona","17.7 (14:00)","-4.1 (07:30)","6.8","","","0","0","0","0","0"
"Tona","Barcelona","16.8 (15:50)","-2.4 (08:30)","7.2","13 (17:10)","7 (19:10)","0","0","0","0","0"
"Sant Julià  de Vilatorta","Barcelona","16.7 (16:10)","-3.9 (08:20)","6.4","10 (15:00)","7 (14:50)","0","0","0","0","0"
"Les Planes d'Hostoles","Girona","21.6 (15:20)","-3.8 (05:40)","8.9","11 (12:10)","6 (14:00)","0","0","0","0","0"
"Sant Hilari","Girona","17.6 (15:50)","0.4 (04:00)","9","17 (18:20)","10 (16:10)","0","0","0","0","0"
"Girona Aeropuerto","Girona","21.0 (14:50)","-2.4 (06:10)","9.3","28 (15:10)","18 (15:10)","0","0","0","0","0"
"Girona","Girona","21.6 (15:40)","-0.4 (07:40)","10.6","18 (15:10)","9 (14:50)","0","0","0","0","0"
"Porqueres","Girona","20.7 (15:30)","-0.3 (06:50)","10.2","15 (14:50)","9 (15:00)","0","0","0","0","0"
"L'Estartit","Girona","21.3 (15:30)","5.2 (08:20)","13.2","27 (03:30)","15 (03:30)","0","0","0","0","0"
"La Vall de Bianya","Girona","18.8 (15:00)","-4.6 (08:20)","7.1","23 (13:30)","11 (13:20)","0","0","0","0","0"
"Castelló d'Empúries","Girona","21.3 (15:50)","1.5 (06:40)","11.4","29 (12:00)","15 (12:00)","0","0","0","0","0"
"Maçanet de Cabrenys","Girona","19.3 (13:30)","3.9 (07:40)","11.6","16 (04:00)","7 (14:40)","0","0","0","0","0"
"Espolla","Girona","21.7 (15:40)","7.0 (23:30)","14.4","44 (10:40)","25 (10:40)","0","0","0","0","0"
"Figueres","Girona","21.5 (15:50)","4.7 (07:40)","13.1","26 (11:40)","11 (19:30)","0","0","0","0","0"
"Cabo de Creus","Girona","18.3 (14:20)","13.3 (23:59)","15.8","","50 (08:10)","0","0","0","0","0"
"Baztan, Irurita","Navarra","11.9 (16:30)","-2.6 (00:30)","4.6","6 (16:50)","3 (07:00)","0","0","0","0","0"
"Bera","Navarra","5.5 (15:30)","1.7 (08:20)","3.6","11 (18:00)","5 (18:00)","0","0","0","0","0"
"Irún","Gipuzkoa","4.1 (12:50)","2.9 (07:10)","3.5","15 (11:00)","9 (11:10)","0","0","0","0","0"
"San Sebastián Aeropuerto","Gipuzkoa","5.3 (16:00)","3.9 (07:20)","4.6","18 (23:10)","16 (23:20)","0","0","0","0","0"
"Renteria","Gipuzkoa","6.4 (15:50)","0.2 (08:50)","3.3","17 (07:50)","12 (07:50)","0","0","0","0","0"
"Segura - Lastala","Gipuzkoa","9.7 (15:20)","-0.9 (08:50)","4.4","14 (15:40)","7 (15:50)","0","0","0","0","0"
"Beasain","Gipuzkoa","8.7 (15:40)","0.4 (09:10)","4.5","17 (16:00)","10 (16:10)","0","0","0","0","0"
"Ordizia","Gipuzkoa","6.5 (16:30)","0.4 (09:10)","3.5","19 (15:50)","13 (15:50)","0","0","0","0","0"
"Areso","Navarra","12.3 (13:20)","-1.2 (08:40)","5.6","15 (14:10)","6 (14:30)","0","0","0","0","0"
"Legazpia","Gipuzkoa","11.7 (14:40)","-2.2 (08:20)","4.7","","","0","0","0","0","0"
"Zumarraga","Gipuzkoa","9.1 (13:50)","-3.4 (08:50)","2.9","18 (14:30)","5 (11:40)","","","","",""
"Azpeitia","Gipuzkoa","5.9 (17:10)","2.0 (08:30)","4","14 (14:00)","7 (14:40)","0","0","0","0","0"
"Zumaia","Gipuzkoa","6.9 (13:50)","4.7 (06:20)","5.8","19 (15:10)","11 (05:30)","0","0","0","0","0"
"Aramaio","Araba/Álava","13.1 (14:10)","1.9 (02:50)","7.5","","","0","0","0","0","0"
"Aretxabaleta","Gipuzkoa","12.2 (15:10)","-0.9 (09:30)","5.6","","","0","0","0","0","0"
"Elgeta","Gipuzkoa","","","","","","","","","",""
"Elgoibar","Gipuzkoa","5.9 (17:00)","1.6 (09:00)","3.8","12 (10:50)","7 (03:20)","0","0","0","0","0"
"Mutriku","Gipuzkoa","6.1 (11:40)","4.1 (06:00)","5.1","14 (14:30)","7 (06:30)","0","0","0","0","0"
"Forua","Bizkaia","8.2 (13:30)","4.1 (08:20)","6.1","17 (13:50)","11 (14:40)","0","0","0","0","0"
"Machichaco","Bizkaia","6.7 (11:50)","5.0 (21:30)","5.8","39 (00:30)","28 (00:10)","0","0","0","0","0"
"Punta Galea","Bizkaia","","","","20 (22:40)","10 (09:20)","0","0","0","0","0"
"Amurrio","Araba/Álava","12.8 (15:10)","-2.5 (09:10)","5.2","19 (15:50)","14 (15:10)","0","0","0","0","0"
"Orozko","Bizkaia","14.6 (15:20)","-2.2 (09:00)","6.2","13 (15:40)","7 (15:40)","0","0","0","0","0"
"Abadiño","Bizkaia","10.6 (12:40)","2.7 (23:59)","6.7","","","0","0","0","0","0"
"Amorebieta--Etxano","Bizkaia","10.2 (15:30)","2.2 (09:40)","6.2","21 (14:20)","11 (14:40)","0","0","0","0","0"
"Balmaseda","Bizkaia","13.0 (15:20)","-1.7 (09:20)","5.6","","","0","0","0","0","0"
"Güeñes","Bizkaia","13.2 (15:40)","0.5 (08:40)","6.8","14 (23:50)","8 (22:50)","0.2","0.1","0.1","0","0"
"Bilbao Aeropuerto","Bizkaia","11.4 (15:10)","3.4 (07:30)","7.4","21 (16:10)","15 (16:30)","0","0","0","0","0"
"Sopuerta","Bizkaia","13.3 (14:50)","1.7 (09:00)","7.5","21 (15:40)","11 (15:30)","0.2","0","0.2","0","0"
"Castro Urdiales","Cantabria","8.6 (13:40)","4.9 (07:20)","6.8","20 (12:10)","13 (12:10)","0","0","0","0","0"
"Ramales de la Victoria","Cantabria","14.1 (15:30)","0.2 (08:20)","7.2","15 (15:00)","6 (15:00)","0","0","0","0","0"
"Barcena de Cicero, Treto","Cantabria","9.0 (15:00)","1.6 (08:40)","5.3","32 (15:50)","22 (15:50)","0","0","0","0","0"
"Soba, Alto Miera","Cantabria","13.5 (15:00)","2.6 (23:59)","8","32 (10:30)","14 (03:10)","0","0","0","0","0"
"Santander Aeropuerto","Cantabria","10.8 (14:00)","5.1 (07:20)","8","33 (15:00)","26 (15:40)","0","0","0","0","0"
"Santander","Cantabria","9.4 (14:40)","5.5 (09:10)","7.4","44 (00:10)","32 (00:20)","0","0","0","0","0"
"Villacarriedo","Cantabria","11.1 (16:10)","-1.3 (09:40)","4.9","16 (15:40)","10 (15:40)","0","0","0","0","0"
"Los Tojos, Bárcena Mayor","Cantabria","14.4 (14:50)","-3.1 (08:10)","5.6","23 (15:50)","11 (15:50)","0","0","0","0","0"
"San Felices de Buelna","Cantabria","13.0 (15:10)","0.6 (08:30)","6.8","14 (15:30)","8 (15:30)","0","0","0","0","0"
"Torrelavega, Sierrapando","Cantabria","11.1 (15:50)","1.8 (09:50)","6.5","15 (09:30)","13 (09:30)","0","0","0","0","0"
"San Vicente de la Barquera","Cantabria","11.1 (16:20)","4.2 (09:10)","7.7","18 (01:30)","13 (01:30)","0","0","0","0","0"
"Camaleño, Fuente De","Cantabria","15.9 (15:10)","1.9 (23:50)","8.9","14 (16:40)","6 (12:50)","0","0","0","0","0"
"Cillórigo de Liébana, Tama","Cantabria","14.9 (16:00)","-4.6 (08:40)","5.1","21 (17:10)","11 (15:40)","0","0","0","0","0"
"Tresviso","Cantabria","14.4 (14:20)","5.8 (23:59)","10.1","14 (13:10)","9 (20:50)","0","0","0","0","0"
"Posada de Valdeón, Soto","León","12.1 (15:10)","-2.3 (23:59)","4.9","","","0","0","0","0","0"
"Cabrales","Asturias","12.6 (15:20)","0.0 (06:20)","6.3","15 (18:10)","12 (18:10)","0.4","0.2","0","0","0.2"
"Llanes","Asturias","10.4 (14:00)","6.3 (09:50)","8.3","22 (01:20)","15 (12:50)","0","0","0","0","0"
"Amieva, Panizales","Asturias","11.9 (15:50)","-1.9 (08:20)","5","15 (15:40)","8 (14:40)","0","0","0","0","0"
"Piloña, Bargaéu","Asturias","11.6 (16:10)","2.7 (10:00)","7.2","12 (18:40)","6 (18:40)","0","0","0","0","0"
"Colunga","Asturias","10.7 (15:30)","6.5 (08:40)","8.6","26 (16:10)","16 (01:30)","0","0","0","0","0"
"Gijón, Campus","Asturias","11.3 (15:10)","4.4 (22:30)","7.9","25 (17:10)","15 (16:00)","0","0","0","0","0"
"Cabo Peñas","Asturias","10.0 (15:30)","7.5 (08:50)","8.8","48 (02:30)","31 (00:30)","0","0","0","0","0"
"Asturias Aeropuerto","Asturias","10.4 (14:00)","5.3 (08:30)","7.8","26 (15:00)","19 (17:40)","0","0","0","0","0"
"Pajares-Valgrande","Asturias","12.4 (12:20)","1.5 (18:50)","6.9","34 (01:20)","23 (00:20)","0","0","0","0","0"
"Lena, Ronzón","Asturias","13.3 (14:50)","-3.0 (08:10)","5.2","16 (16:10)","9 (17:00)","0","0","0","0","0"
"Aller, Felechosa","Asturias","14.1 (13:40)","0.4 (23:20)","7.3","16 (17:30)","11 (08:50)","0","0","0","0","0"
"Mieres, Baiña","Asturias","13.9 (15:30)","-0.6 (09:00)","6.6","18 (14:30)","8 (14:30)","0","0","0","0","0"
"Oviedo","Asturias","10.2 (16:30)","1.9 (08:40)","6","17 (15:20)","9 (15:00)","0","0","0","0","0"
"Tineo, Soutu","Asturias","12.6 (15:10)","-0.7 (09:40)","6","14 (16:50)","8 (16:40)","0","0","0","0","0"
"Pola de Somiedo","Asturias","16.9 (15:10)","-2.2 (03:50)","7.3","20 (14:40)","10 (14:50)","0","0","0","0","0"
"Salas, Camuño","Asturias","13.4 (15:00)","2.6 (09:10)","8","16 (15:40)","12 (15:40)","0","0","0","0","0"
"Cabo Busto","Asturias","11.3 (14:00)","3.2 (08:50)","7.3","33 (00:40)","19 (00:20)","0","0","0","0","0"
"Cervantes","Lugo","","","","","","","","","",""
"Degaña","Asturias","15.1 (14:30)","1.3 (21:40)","8.2","26 (00:20)","18 (09:40)","0","0","0","0","0"
"Ibias, San Antolin","Asturias","16.9 (15:20)","4.4 (04:40)","10.6","17 (15:50)","12 (14:00)","0","0","0","0","0"
"Villayón, Oneta","Asturias","10.0 (14:00)","2.3 (04:30)","6.1","12 (23:40)","8 (14:30)","0","0","0","0","0"
"Castropol","Asturias","12.9 (15:40)","5.1 (10:00)","9","17 (09:50)","8 (10:10)","0","0","0","0","0"
"Taramundi, Ouria","Asturias","10.7 (15:10)","2.0 (09:40)","6.3","20 (04:20)","13 (03:50)","0","0","0","0","0"
"Ribadeo","Lugo","11.4 (13:30)","5.1 (20:10)","8.2","22 (09:40)","15 (09:40)","0","0","0","0","0"
"Mondoñedo","Lugo","11.5 (16:10)","3.8 (08:00)","7.6","","","0","0","0","0","0"
"Burela","Lugo","10.3 (00:00)","8.2 (12:20)","9.3","","","0","0","0","0","0"
"Estaca de Bares","A Coruña","10.6 (00:30)","8.4 (10:20)","9.5","63 (01:20)","50 (02:40)","0","0","0","0","0"
"Ferrol","A Coruña","19.0 (16:10)","3.8 (09:00)","11.4","24 (01:50)","12 (01:00)","0","0","0","0","0"
"As Pontes","A Coruña","16.2 (15:20)","1.0 (23:20)","8.6","","","0","0","0","0","0"
"A Coruña","A Coruña","17.1 (15:20)","6.7 (09:00)","11.9","28 (06:00)","19 (06:10)","0","0","0","0","0"
"A Coruña Bens","A Coruña","16.1 (15:10)","6.2 (09:10)","11.2","30 (06:50)","28 (06:50)","0","0","0","0","0"
"A Coruña Aeropuerto","A Coruña","16.2 (15:50)","0.8 (08:20)","8.5","26 (08:30)","14 (08:30)","0","0","0","0","0"
"Carballo, Depuradora","A Coruña","19.1 (15:40)","-2.6 (09:10)","8.3","","","0","0","0","0","0"
"Cabo Vilán","A Coruña","17.3 (15:20)","8.8 (00:10)","13","53 (23:59)","46 (23:59)","0","0","0","0","0"
"Vimianzo","A Coruña","17.0 (14:40)","1.9 (22:50)","9.4","","","0","0","0","0","0"
"Fisterra","A Coruña","15.0 (00:00)","8.7 (23:59)","11.8","57 (23:59)","46 (23:59)","0","0","0","0","0"
"Mazaricos","A Coruña","16.0 (16:00)","1.1 (08:20)","8.6","","","0","0","0","0","0"
"Sobrado","A Coruña","21.8 (15:10)","-3.7 (09:10)","9","","","0","0","0","0","0"
"Santiago de Compostela Aeropuerto","A Coruña","17.1 (15:50)","2.3 (05:00)","9.7","15 (22:50)","10 (22:50)","0","0","0","0","0"
"Noia","A Coruña","16.7 (14:10)","7.0 (09:50)","11.9","15 (05:50)","6 (05:50)","0","0","0","0","0"
"Monte Iroite","A Coruña","","","","","","0","0","0","0","0"
"Boiro","A Coruña","14.9 (17:10)","-0.1 (09:20)","7.4","","","0","0","0","0","0"
"Monterroso","Lugo","18.1 (15:20)","0.2 (04:00)","9.2","","","0","0","0","0","0"
"Silleda","Pontevedra","18.8 (14:00)","4.4 (23:30)","11.6","28 (08:40)","19 (08:30)","0","0","0","0","0"
"A Estrada","Pontevedra","16.2 (15:30)","-0.3 (08:40)","8","","","0","0","0","0","0"
"Padrón","A Coruña","16.8 (16:00)","-1.6 (08:50)","7.6","28 (07:50)","21 (03:50)","0","0","0","0","0"
"Santiago de Compostela","A Coruña","18.9 (15:50)","3.6 (09:30)","11.2","18 (02:50)","9 (09:20)","0","0","0","0","0"
"Rois, Casas do Porto","A Coruña","17.8 (17:00)","3.8 (09:30)","10.8","","","0","0","0","0","0"
"Vilagarcía de Arousa","Pontevedra","18.6 (16:40)","3.8 (09:20)","11.2","13 (06:00)","9 (05:50)","0","0","0","0","0"
"Pontevedra","Pontevedra","19.1 (14:50)","5.7 (08:10)","12.4","22 (00:10)","14 (04:20)","0","0","0","0","0"
"A Lama","Pontevedra","18.3 (13:50)","0.2 (23:40)","9.2","27 (07:00)","14 (07:00)","0","0","0","0","0"
"Vigo Aeropuerto","Pontevedra","18.8 (15:50)","3.9 (07:10)","11.3","24 (04:50)","18 (04:50)","0","0","0","0","0"
"Vigo","Pontevedra","19.8 (15:20)","8.9 (09:20)","14.3","12 (08:10)","6 (08:00)","0","0","0","0","0"
"Lugo Aeropuerto","Lugo","14.2 (17:10)","-2.0 (05:30)","6.1","8 (14:50)","5 (02:40)","0.2","0","0.2","0","0"
"Lugo","Lugo","14.9 (18:00)","-0.1 (10:20)","7.4","12 (23:59)","6 (20:30)","0","0","0","0","0"
"O Páramo","Lugo","13.5 (17:40)","-0.7 (23:59)","6.4","","","0.2","0.2","0","0","0"
"Becerreá","Lugo","14.1 (12:50)","6.8 (22:50)","10.5","36 (00:30)","21 (00:10)","0","0","0","0","0"
"O Saviñao","Lugo","","","","","","","","","",""
"Villablino","León","19.2 (15:50)","-6.6 (08:40)","6.3","21 (17:30)","12 (16:40)","0","0","0","0","0"
"Puerto de Leitariegos","Asturias","13.5 (13:40)","0.9 (23:59)","7.2","26 (17:10)","17 (17:10)","0","0","0","0","0"
"Ponferrada","León","16.8 (17:30)","-3.9 (08:50)","6.4","10 (14:00)","6 (12:20)","0","0","0","0","0"
"Vega de Espinareda","León","18.9 (15:50)","-1.1 (08:20)","8.9","","","0","0","0","0","0"
"O Barco de Valdeorras","Ourense","11.5 (17:10)","-3.6 (08:50)","4","","","0","0","0","0","0"
"A Pobra de Trives","Ourense","14.8 (15:40)","-0.8 (08:00)","7","23 (22:40)","13 (22:40)","0","0","0","0","0"
"Chandrexa de Queixa","Ourense","15.0 (15:00)","-1.9 (08:40)","6.6","18 (19:40)","13 (04:00)","0","0","0","0","0"
"Folgoso do Courel","Lugo","17.5 (15:20)","0.9 (08:50)","9.2","","","0","0","0","0","0"
"Monforte de Lemos","Lugo","17.2 (16:50)","-6.2 (09:10)","5.5","6 (12:50)","3 (12:50)","0","0","0","0","0"
"Ourense","Ourense","17.5 (17:10)","-4.0 (09:10)","6.8","8 (13:50)","4 (14:50)","0","0","0","0","0"
"Beariz","Ourense","18.8 (16:20)","-5.8 (09:00)","6.5","","","0","0","0","0","0"
"O Carballiño","Ourense","19.2 (16:20)","-3.7 (09:10)","7.8","6 (13:00)","3 (13:00)","0","0","0","0","0"
"Ribadavia","Ourense","","","","","","","0","0.2","",""
"Allariz","Ourense","17.3 (14:50)","-4.5 (08:10)","6.4","","","0","0","0","0","0"
"A Cañiza","Pontevedra","17.6 (14:20)","4.7 (08:30)","11.2","","","0","0","0","0","0"
"Ponteareas, Canedo","Pontevedra","18.7 (16:40)","-2.9 (08:30)","7.9","","","0","0","0","0","0"
"O Rosal","Pontevedra","18.9 (16:30)","-0.3 (09:00)","9.3","","","0","0","0","0","0"
"Xinzo de Limia","Ourense","17.0 (14:40)","-9.9 (09:00)","3.6","16 (16:50)","11 (17:00)","0","0","0","0","0"
"Muiños","Ourense","","","","","","","","","",""
"Santillana del Mar, Altamira","Cantabria","10.0 (15:40)","1.7 (10:40)","5.9","15 (15:30)","9 (15:10)","0","0","0","0","0"
"Vinuesa, Quintanarejo","Soria","17.0 (15:00)","-2.6 (06:30)","7.2","","","0","0","0","0","0"
"La Póveda de Soria, Barriomartín","Soria","16.9 (15:30)","-0.8 (05:50)","8","27 (17:30)","19 (17:30)","0","0","0","0","0"
"Soria","Soria","18.2 (14:00)","-4.2 (08:00)","7","28 (16:40)","15 (15:50)","0","0","0","0","0"
"Lubia","Soria","17.7 (15:10)","-0.8 (06:00)","8.5","29 (16:00)","18 (16:00)","0","0","0","0","0"
"Morón de Almazán","Soria","17.9 (16:20)","-8.7 (07:50)","4.6","20 (14:40)","13 (14:50)","0","0","0","0","0"
"La Riba de Escalote","Soria","16.1 (15:20)","-5.2 (04:40)","5.5","22 (15:40)","14 (14:00)","0","0","0","0","0"
"Ucero","Soria","17.1 (16:40)","-6.2 (08:40)","5.5","","","0","0","0","0","0"
"Burgo de Osma","Soria","16.9 (15:20)","-8.3 (08:30)","4.3","23 (16:10)","17 (16:40)","0","0","0","0","0"
"Liceras","Soria","16.1 (11:10)","0.0 (06:00)","8.1","19 (16:30)","13 (15:40)","0","0","0","0","0"
"Coruña del Conde","Burgos","16.2 (15:30)","-2.1 (07:30)","7.1","20 (16:30)","12 (15:50)","0","0","0","0","0"
"Aranda de Duero","Burgos","15.0 (16:10)","-7.9 (08:40)","3.5","14 (15:40)","8 (00:10)","0","0","0","0","0"
"Fresno de Cantespino","Segovia","15.1 (15:00)","-6.2 (08:20)","4.5","22 (15:40)","17 (16:30)","0","0","0","0","0"
"Aldeanueva de Serrezuela","Segovia","13.5 (15:10)","6.2 (21:00)","9.8","14 (05:00)","11 (05:00)","0","0","0","0","0"
"La Pinilla, estación de esquí","Segovia","","","","","","","0","","",""
"Peñafiel","Valladolid","17.2 (16:00)","-7.8 (08:40)","4.7","","","0","0","0","0","0"
"Sardón de Duero","Valladolid","19.0 (16:10)","-8.1 (08:50)","5.4","18 (10:20)","6 (10:20)","0","0","0","0","0"
"Pedraza","Segovia","15.9 (16:00)","0.3 (07:30)","8.1","17 (14:00)","12 (00:20)","0","0","0","0","0"
"Cuéllar","Segovia","19.7 (15:00)","-8.8 (08:20)","5.5","19 (15:30)","11 (16:50)","0","0","0","0","0"
"Cervera de Pisuerga","Palencia","17.2 (15:20)","2.4 (23:10)","9.8","21 (00:30)","14 (19:40)","0","0","0","0","0"
"Aguilar de Campoo","Palencia","14.8 (16:20)","-7.3 (08:50)","3.8","20 (14:50)","12 (14:40)","0","0","0","0","0"
"Villaeles de Valdavia","Palencia","17.0 (16:20)","-2.7 (09:00)","7.1","17 (10:10)","10 (10:00)","0","0","0","0","0"
"Villadiego","Burgos","15.8 (15:20)","-1.5 (08:50)","7.2","24 (04:10)","21 (04:10)","0","0","0","0","0"
"Pedrosa del Príncipe","Burgos","17.0 (16:00)","-7.9 (08:10)","4.5","11 (20:30)","6 (03:10)","0","0","0","0","0"
"Ólvega","Soria","18.6 (15:30)","-0.5 (00:00)","9.1","23 (12:30)","13 (14:30)","0","0","0","0","0"
"Palacios de la Sierra","Burgos","16.6 (14:40)","-5.3 (08:30)","5.7","","15 (16:00)","0","0","0","0","0"
"Monterrubio de la Demanda","Burgos","15.4 (15:30)","-3.7 (06:20)","5.8","31 (16:00)","22 (16:20)","0","0","0","0","0"
"Villamayor de los Montes","Burgos","16.4 (16:10)","-4.2 (09:00)","6.1","19 (17:10)","12 (17:20)","0","0","0","0","0"
"Burgos Aeropuerto","Burgos","14.7 (15:30)","-5.1 (07:40)","4.8","23 (12:30)","18 (12:30)","0","0","0","0","0"
"Velilla del Río Carrión, Camporredondo de Alba","Palencia","16.9 (14:50)","3.6 (05:50)","10.2","24 (16:30)","15 (00:40)","0","0","0","0","0"
"Carrión de los Condes","Palencia","16.6 (16:00)","-5.6 (08:30)","5.5","17 (03:10)","9 (11:50)","0","0","0","0","0"
"Autilla del Pino","Palencia","15.2 (17:00)","-2.1 (08:20)","6.5","21 (02:30)","18 (01:30)","0","0","0","0","0"
"Palencia","Palencia","16.5 (16:30)","-7.0 (08:40)","4.8","10 (12:10)","7 (12:30)","0","0","0","0","0"
"Valladolid","Valladolid","15.0 (16:10)","-3.1 (09:10)","6","11 (06:50)","6 (18:40)","0","0","0","0","0"
"Muñotello","Ávila","14.7 (14:00)","0.9 (08:30)","7.8","26 (13:30)","15 (17:10)","0","0","0","0","0"
"Ávila","Ávila","14.9 (14:20)","-1.4 (07:50)","6.7","22 (14:40)","14 (14:40)","0","0","0","0","0"
"Arevalo","Ávila","15.6 (15:10)","-5.6 (08:40)","5","18 (17:00)","13 (17:10)","0","0","0","0","0"
"Puerto de Navacerrada","Madrid","9.8 (14:20)","2.6 (00:40)","6.2","43 (03:10)","30 (03:30)","0","0","0","0","0"
"Segovia","Segovia","15.5 (15:40)","1.4 (05:30)","8.4","19 (16:50)","11 (16:50)","0","0","0","0","0"
"San Rafael","Segovia","","","","","","","","","",""
"Miguelañez","Segovia","","","","24 (23:00)","19 (01:00)","0","0","0","0","0"
"La Covatilla, estación de esquí","Salamanca","8.8 (15:10)","-0.2 (06:20)","4.3","50 (01:30)","36 (01:30)","0","0","0","0","0"
"Olmedo, Depósito de Agua","Valladolid","15.0 (15:40)","-4.8 (08:00)","5.1","20 (22:30)","19 (22:50)","0","0","0","0","0"
"Rueda","Valladolid","13.9 (16:50)","-5.5 (07:30)","4.2","","","0","0","0","0","0"
"Rivilla de Barajas","Ávila","14.9 (13:20)","-1.1 (09:00)","6.9","23 (15:30)","17 (15:40)","0","0","0","0","0"
"Fuente el Sol","Valladolid","16.2 (15:30)","-7.0 (08:20)","4.6","17 (16:30)","13 (16:30)","0","0","0","0","0"
"Morales del Toro","Zamora","15.5 (16:10)","-6.8 (08:50)","4.3","20 (15:10)","13 (18:20)","0","0","0","0","0"
"Fuentesauco","Zamora","13.0 (16:10)","-4.6 (07:30)","4.2","18 (14:20)","13 (16:30)","0","0","0","0","0"
"Coreses","Zamora","13.2 (16:40)","-4.4 (08:20)","4.4","28 (02:30)","23 (02:40)","0","0","0","0","0"
"Santervás de la Vega, Villapún","Palencia","16.1 (15:30)","0.0 (23:59)","8.1","19 (00:10)","17 (00:10)","0","0","0","0","0"
"Villalón de Campos","Valladolid","17.1 (17:20)","-6.4 (06:50)","5.4","15 (15:10)","7 (00:10)","0","0","0","0","0"
"Medina de Rioseco","Valladolid","14.8 (15:40)","-6.5 (07:50)","4.2","14 (14:10)","9 (05:40)","0","0","0","0","0"
"Villafáfila","Zamora","15.5 (17:10)","-5.7 (08:40)","4.9","21 (01:50)","17 (01:40)","0","0","0","0","0"
"Zamora","Zamora","13.5 (16:10)","-4.0 (09:00)","4.8","13 (14:30)","7 (11:40)","0","0","0","0","0"
"Riaño","León","13.7 (16:00)","-6.4 (08:50)","3.6","22 (16:50)","11 (17:00)","0","0","0","0","0"
"Cubillas de Rueda","León","16.6 (15:40)","-4.7 (08:20)","6","18 (03:00)","13 (03:00)","0","0","0","0","0"
"Puerto de San Isidro","León","12.3 (12:40)","-2.0 (07:40)","5.2","25 (15:10)","18 (16:30)","0","0","0","0","0"
