"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Vilassar de Dalt","Barcelona","14.4 (15:50)","4.6 (04:40)","9.5","22 (16:20)","12 (16:20)","0","0","0","0","0"
"Arenys de Mar","Barcelona","15.2 (13:10)","2.9 (06:40)","9","18 (16:10)","9 (15:50)","0","0","0","0","0"
"Santa Susanna","Barcelona","","","","","","","","","",""
"Fogars de Montclús","Barcelona","14.2 (13:10)","4.4 (00:40)","9.3","","","0","0","0","0","0"
"Blanes","Girona","14.6 (14:10)","5.7 (06:20)","10.2","28 (23:30)","17 (15:00)","0","0","0","0","0"
"Castell, Platja d'Aro","Girona","14.7 (15:50)","-0.1 (08:30)","7.3","17 (15:20)","10 (14:00)","0","0","0","0","0"
"Sant Pau de Segúries","Girona","13.9 (14:30)","-6.7 (07:20)","3.6","13 (10:20)","8 (10:20)","0","0","0","0","0"
"Planoles","Girona","14.8 (14:40)","0.0 (03:00)","7.4","26 (14:20)","14 (14:10)","0","0","0","0","0"
"Ripoll","Girona","14.9 (14:40)","-5.6 (07:50)","4.6","","","0","0","0","0","0"
"Tona","Barcelona","15.0 (15:50)","-3.9 (07:30)","5.5","10 (15:10)","7 (19:20)","0","0","0","0","0"
"Sant Julià  de Vilatorta","Barcelona","15.4 (15:40)","-5.0 (08:20)","5.2","10 (16:10)","5 (16:10)","0","0","0","0","0"
"Les Planes d'Hostoles","Girona","16.9 (14:50)","-5.0 (07:10)","5.9","8 (14:50)","5 (16:10)","0","0","0","0","0"
"Sant Hilari","Girona","14.6 (15:10)","-0.7 (01:20)","7","25 (05:00)","15 (07:00)","0","0","0","0","0"
"Girona Aeropuerto","Girona","17.4 (15:40)","-3.5 (07:50)","6.9","17 (14:30)","11 (15:40)","0","0","0","0","0"
"Girona","Girona","18.2 (16:20)","-1.3 (08:30)","8.5","12 (14:30)","6 (15:30)","0","0","0","0","0"
"Porqueres","Girona","17.8 (15:10)","-1.4 (03:40)","8.2","17 (16:00)","10 (15:20)","0.1","0","0.1","0","0"
"L'Estartit","Girona","14.8 (15:20)","0.0 (07:20)","7.4","16 (01:20)","10 (12:20)","0","0","0","0","0"
"La Vall de Bianya","Girona","14.8 (15:00)","-5.5 (07:40)","4.7","8 (17:50)","4 (16:40)","0","0","0","0","0"
"Castelló d'Empúries","Girona","14.7 (14:40)","-2.0 (08:10)","6.3","14 (16:20)","6 (22:50)","0","0","0","0","0"
"Maçanet de Cabrenys","Girona","16.9 (15:30)","-0.1 (06:00)","8.4","12 (13:00)","8 (13:00)","0","0","0","0","0"
"Espolla","Girona","16.6 (16:00)","2.8 (08:20)","9.7","21 (21:40)","12 (05:10)","0","0","0","0","0"
"Figueres","Girona","16.7 (15:00)","0.9 (06:30)","8.8","12 (16:40)","8 (09:50)","0","0","0","0","0"
"Cabo de Creus","Girona","14.8 (20:10)","8.4 (08:20)","11.6","","16 (06:20)","0","0","0","0","0"
"Baztan, Irurita","Navarra","16.9 (15:50)","-5.0 (07:50)","5.9","13 (17:10)","6 (17:10)","0","0","0","0","0"
"Bera","Navarra","15.4 (14:50)","-3.3 (08:20)","6","15 (15:00)","7 (16:50)","0.2","0","0.2","0","0"
"Irún","Gipuzkoa","13.1 (13:10)","5.5 (06:10)","9.3","10 (13:50)","6 (13:50)","0","0","0","0","0"
"San Sebastián Aeropuerto","Gipuzkoa","12.8 (13:20)","0.9 (06:20)","6.9","17 (15:20)","13 (15:10)","0","0","0","0","0"
"Renteria","Gipuzkoa","16.0 (15:10)","0.4 (09:00)","8.2","18 (15:00)","9 (16:30)","0","0","0","0","0"
"Segura - Lastala","Gipuzkoa","15.5 (15:30)","-2.0 (08:50)","6.8","11 (16:20)","6 (16:10)","0","0","0","0","0"
"Beasain","Gipuzkoa","16.2 (15:50)","-1.9 (08:30)","7.2","13 (17:00)","6 (15:10)","0","0","0","0","0"
"Ordizia","Gipuzkoa","14.3 (15:30)","-0.9 (08:10)","6.7","22 (16:20)","14 (16:20)","0","0","0","0","0"
"Areso","Navarra","15.0 (14:50)","1.7 (09:20)","8.4","17 (14:10)","10 (14:00)","0","0","0","0","0"
"Legazpia","Gipuzkoa","14.1 (15:10)","-0.3 (08:50)","6.9","","","0","0","0","0","0"
"Zumarraga","Gipuzkoa","11.7 (13:50)","0.7 (09:00)","6.2","9 (23:10)","5 (12:00)","","","","",""
"Azpeitia","Gipuzkoa","13.3 (14:30)","0.2 (09:00)","6.8","20 (14:50)","6 (16:20)","0","0","0","0","0"
"Zumaia","Gipuzkoa","12.3 (14:30)","2.5 (08:20)","7.4","20 (05:20)","17 (08:50)","0","0","0","0","0"
"Aramaio","Araba/Álava","12.7 (15:00)","2.3 (08:10)","7.5","","","0","0","0","0","0"
"Aretxabaleta","Gipuzkoa","12.3 (15:00)","-2.3 (08:30)","5","","","0","0","0","0","0"
"Elgeta","Gipuzkoa","12.6 (14:50)","3.2 (08:30)","7.9","13 (09:10)","9 (09:10)","0","0","0","0","0"
"Elgoibar","Gipuzkoa","12.6 (14:10)","-1.1 (08:30)","5.8","24 (16:20)","12 (16:10)","0","0","0","0","0"
"Mutriku","Gipuzkoa","12.1 (14:40)","6.9 (21:00)","9.5","12 (13:20)","8 (13:40)","0","0","0","0","0"
"Forua","Bizkaia","13.5 (14:30)","0.3 (08:00)","6.9","24 (15:10)","15 (14:40)","0","0","0","0","0"
"Machichaco","Bizkaia","11.9 (11:40)","7.0 (03:10)","9.4","31 (17:50)","25 (18:10)","0","0","0","0","0"
"Punta Galea","Bizkaia","","","","20 (15:40)","13 (15:00)","0","0","0","0","0"
"Amurrio","Araba/Álava","13.8 (15:50)","-2.6 (08:50)","5.6","17 (17:20)","10 (16:00)","0","0","0","0","0"
"Orozko","Bizkaia","15.2 (14:50)","0.0 (08:00)","7.6","14 (17:10)","8 (17:00)","0","0","0","0","0"
"Abadiño","Bizkaia","10.5 (14:50)","0.7 (08:10)","5.6","","","0.2","0","0.2","0","0"
"Amorebieta--Etxano","Bizkaia","14.7 (15:10)","-1.1 (08:20)","6.8","17 (15:30)","10 (15:30)","0","0","0","0","0"
"Balmaseda","Bizkaia","14.5 (14:10)","-2.3 (08:20)","6.1","","","0","0","0","0","0"
"Güeñes","Bizkaia","14.4 (16:00)","-1.2 (07:20)","6.6","13 (16:10)","6 (15:00)","0","0","0","0","0"
"Bilbao Aeropuerto","Bizkaia","15.5 (14:50)","0.1 (08:50)","7.8","17 (15:00)","12 (05:50)","0","0","0","0","0"
"Sopuerta","Bizkaia","16.3 (14:40)","0.9 (08:10)","8.6","23 (17:50)","14 (17:50)","0","0","0","0","0"
"Castro Urdiales","Cantabria","12.6 (13:40)","4.5 (07:40)","8.6","23 (18:40)","14 (18:50)","0","0","0","0","0"
"Ramales de la Victoria","Cantabria","12.9 (16:00)","-1.7 (08:40)","5.6","13 (15:30)","6 (16:00)","0","0","0","0","0"
"Barcena de Cicero, Treto","Cantabria","12.2 (16:10)","0.8 (08:30)","6.5","31 (15:40)","21 (16:40)","0","0","0","0","0"
"Soba, Alto Miera","Cantabria","11.7 (16:00)","3.1 (10:00)","7.4","15 (05:20)","11 (14:10)","0","0","0","0","0"
"Santander Aeropuerto","Cantabria","","","","","","","","","0","0"
"Santander","Cantabria","11.8 (15:20)","6.4 (07:50)","9.1","39 (17:20)","30 (16:30)","0","0","0","0","0"
"Villacarriedo","Cantabria","12.6 (15:30)","-2.6 (09:00)","5","14 (16:10)","9 (16:10)","0","0","0","0","0"
"Los Tojos, Bárcena Mayor","Cantabria","13.4 (14:10)","-3.1 (08:10)","5.1","18 (14:40)","11 (14:50)","0","0","0","0","0"
"San Felices de Buelna","Cantabria","14.2 (15:20)","-1.7 (09:20)","6.2","16 (15:50)","7 (15:30)","0","0","0","0","0"
"Torrelavega, Sierrapando","Cantabria","12.2 (15:00)","2.1 (08:10)","7.1","21 (02:10)","17 (02:40)","0","0","0","0","0"
"San Vicente de la Barquera","Cantabria","11.5 (12:30)","3.0 (08:50)","7.3","24 (16:30)","15 (15:20)","0","0","0","0","0"
"Camaleño, Fuente De","Cantabria","11.7 (15:30)","-0.7 (07:10)","5.5","14 (13:50)","6 (14:30)","0","0","0","0","0"
"Cillórigo de Liébana, Tama","Cantabria","13.5 (15:50)","-3.5 (09:10)","5","22 (16:20)","10 (16:20)","0","0","0","0","0"
"Tresviso","Cantabria","8.3 (16:20)","2.4 (03:40)","5.4","15 (13:00)","10 (12:50)","0","0","0","0","0"
"Posada de Valdeón, Soto","León","7.8 (15:20)","-3.2 (07:40)","2.3","","","0","0","0","0","0"
"Cabrales","Asturias","11.7 (15:10)","1.6 (05:40)","6.6","19 (18:10)","11 (18:40)","0","0","0","0","0"
"Llanes","Asturias","13.2 (15:10)","4.8 (07:00)","9","24 (15:40)","17 (14:10)","0","0","0","0","0"
"Amieva, Panizales","Asturias","12.8 (15:30)","-0.8 (08:20)","6","22 (15:10)","12 (15:10)","0","0","0","0","0"
"Piloña, Bargaéu","Asturias","12.0 (15:30)","-1.2 (08:10)","5.4","18 (16:50)","9 (15:50)","0","0","0","0","0"
"Colunga","Asturias","12.0 (13:00)","3.7 (08:40)","7.9","24 (16:30)","17 (16:30)","0","0","0","0","0"
"Gijón, Campus","Asturias","12.4 (13:20)","-0.3 (08:50)","6","25 (15:00)","12 (15:00)","0","0","0","0","0"
"Cabo Peñas","Asturias","11.7 (12:50)","6.1 (08:30)","8.9","33 (18:10)","22 (17:50)","0","0","0","0","0"
"Asturias Aeropuerto","Asturias","11.2 (13:40)","3.3 (07:50)","7.2","30 (15:40)","19 (07:10)","0","0","0","0","0"
"Pajares-Valgrande","Asturias","6.9 (15:10)","0.0 (00:00)","3.5","40 (12:00)","26 (23:30)","0","0","0","0","0"
"Lena, Ronzón","Asturias","11.7 (14:40)","-2.4 (09:10)","4.6","22 (16:00)","11 (16:00)","0","0","0","0","0"
"Aller, Felechosa","Asturias","9.3 (14:00)","-1.8 (05:20)","3.8","15 (11:00)","9 (18:10)","0","0","0","0","0"
"Mieres, Baiña","Asturias","13.2 (15:50)","-0.6 (08:30)","6.3","17 (15:20)","10 (15:20)","0","0","0","0","0"
"Oviedo","Asturias","10.6 (16:00)","1.6 (09:10)","6.1","20 (16:50)","13 (17:30)","0","0","0","0","0"
"Tineo, Soutu","Asturias","11.1 (15:50)","-1.1 (05:10)","5","21 (16:00)","12 (16:30)","0","0","0","0","0"
"Pola de Somiedo","Asturias","10.9 (14:40)","-3.5 (08:50)","3.7","22 (15:00)","10 (15:00)","0","0","0","0","0"
"Salas, Camuño","Asturias","12.5 (14:30)","0.7 (08:40)","6.6","20 (17:00)","13 (17:00)","0","0","0","0","0"
"Cabo Busto","Asturias","11.8 (13:40)","3.5 (07:20)","7.7","49 (16:40)","26 (16:50)","0","0","0","0","0"
"Cervantes","Lugo","","","","","","","","","",""
"Degaña","Asturias","8.4 (15:20)","-1.7 (02:50)","3.3","31 (13:50)","19 (23:59)","0","0","0","0","0"
"Ibias, San Antolin","Asturias","10.6 (15:30)","-0.7 (06:50)","5","17 (18:30)","11 (03:10)","0","0","0","0","0"
"Villayón, Oneta","Asturias","10.8 (16:00)","0.3 (09:10)","5.6","28 (22:40)","21 (22:40)","0","0","0","0","0"
"Castropol","Asturias","12.9 (16:40)","1.7 (08:50)","7.3","24 (05:30)","13 (05:40)","0","0","0","0","0"
"Taramundi, Ouria","Asturias","9.6 (14:30)","1.4 (07:50)","5.5","21 (15:50)","16 (15:50)","0","0","0","0","0"
"Ribadeo","Lugo","11.1 (15:10)","2.8 (09:10)","7","25 (18:20)","14 (05:20)","0","0","0","0","0"
"Mondoñedo","Lugo","11.2 (15:30)","-1.5 (08:50)","4.8","","","0","0","0","0","0"
"Burela","Lugo","11.7 (14:10)","5.5 (05:50)","8.6","","","0","0","0","0","0"
"Estaca de Bares","A Coruña","11.1 (13:00)","7.9 (07:00)","9.5","46 (19:40)","36 (21:10)","0","0","0","0","0"
"Ferrol","A Coruña","16.8 (14:50)","2.9 (07:10)","9.8","26 (19:00)","17 (20:20)","0","0","0","0","0"
"As Pontes","A Coruña","13.6 (15:00)","-2.0 (09:10)","5.8","","","0","0","0","0","0"
"A Coruña","A Coruña","13.4 (14:50)","3.8 (08:40)","8.6","30 (18:30)","21 (18:30)","0","0","0","0","0"
"A Coruña Bens","A Coruña","12.3 (16:20)","4.6 (06:50)","8.5","26 (18:30)","22 (20:20)","0","0","0","0","0"
"A Coruña Aeropuerto","A Coruña","13.0 (17:00)","-0.6 (09:10)","6.2","17 (15:20)","13 (00:30)","0","0","0","0","0"
"Carballo, Depuradora","A Coruña","13.5 (14:40)","-2.9 (08:30)","5.3","","","0","0","0","0","0"
"Cabo Vilán","A Coruña","12.4 (14:00)","6.4 (06:30)","9.4","39 (17:20)","34 (17:10)","0","0","0","0","0"
"Vimianzo","A Coruña","13.2 (14:50)","0.7 (09:00)","6.9","","","0","0","0","0","0"
"Fisterra","A Coruña","14.6 (15:00)","8.2 (07:30)","11.4","44 (07:50)","33 (07:50)","0","0","0","0","0"
"Mazaricos","A Coruña","12.6 (15:50)","-0.6 (06:30)","6","","","0","0","0","0","0"
"Sobrado","A Coruña","16.2 (15:40)","-4.0 (09:00)","6.1","","","0","0","0","0","0"
"Santiago de Compostela Aeropuerto","A Coruña","14.0 (15:50)","1.5 (02:50)","7.8","21 (16:30)","8 (18:50)","0","0","0","0","0"
"Noia","A Coruña","14.8 (13:50)","3.8 (07:40)","9.3","19 (12:50)","9 (12:50)","0","0","0","0","0"
"Monte Iroite","A Coruña","","","","","","0","0","0","0","0"
"Boiro","A Coruña","15.4 (16:10)","0.3 (08:40)","7.8","","","0","0","0","0","0"
"Monterroso","Lugo","11.1 (15:20)","-0.2 (04:00)","5.5","","","0","0","0","0","0"
"Silleda","Pontevedra","15.1 (16:10)","2.8 (05:50)","9","36 (15:30)","15 (05:10)","0","0","0","0","0"
"A Estrada","Pontevedra","13.8 (15:20)","-0.7 (07:20)","6.6","","","0","0","0","0","0"
"Padrón","A Coruña","15.3 (15:40)","-1.7 (09:20)","6.8","24 (16:30)","16 (16:50)","0","0","0","0","0"
"Santiago de Compostela","A Coruña","15.5 (16:40)","2.6 (09:20)","9","21 (08:00)","10 (08:40)","0","0","0","0","0"
"Rois, Casas do Porto","A Coruña","","","","","","","0","","0","0"
"Vilagarcía de Arousa","Pontevedra","15.8 (16:30)","2.4 (08:20)","9.1","21 (17:00)","13 (17:00)","0","0","0","0","0"
"Pontevedra","Pontevedra","16.3 (15:00)","5.6 (05:10)","10.9","21 (01:50)","14 (02:50)","0","0","0","0","0"
"A Lama","Pontevedra","14.0 (16:20)","0.5 (23:40)","7.3","39 (11:10)","19 (11:20)","0","0","0","0","0"
"Vigo Aeropuerto","Pontevedra","15.3 (15:30)","2.6 (09:30)","9","21 (08:40)","13 (10:30)","0","0","0","0","0"
"Vigo","Pontevedra","16.2 (15:30)","7.0 (09:10)","11.6","22 (11:30)","9 (11:40)","0","0","0","0","0"
"Lugo Aeropuerto","Lugo","11.4 (16:30)","-4.0 (09:20)","3.7","20 (16:40)","10 (16:40)","0","0","0","0","0"
"Lugo","Lugo","11.1 (17:30)","-1.4 (08:40)","4.9","20 (16:30)","10 (17:50)","0.2","0","0.2","0","0"
"O Páramo","Lugo","11.0 (17:30)","-1.5 (01:20)","4.8","","","0.2","0","0.2","0","0"
"Becerreá","Lugo","7.6 (14:20)","1.6 (23:50)","4.6","28 (00:10)","14 (01:00)","0","0","0","0","0"
"O Saviñao","Lugo","","","","","","","","","",""
"Villablino","León","14.2 (15:20)","-7.1 (08:50)","3.5","26 (16:50)","11 (16:50)","0","0","0","0","0"
"Puerto de Leitariegos","Asturias","6.3 (16:10)","-3.9 (05:20)","1.2","34 (23:00)","23 (22:50)","0","0","0","0","0"
"Ponferrada","León","13.5 (16:00)","-3.3 (08:40)","5.1","29 (16:30)","14 (17:40)","0","0","0","0","0"
"Vega de Espinareda","León","13.2 (16:30)","-2.8 (08:40)","5.2","","","0","0","0","0","0"
"O Barco de Valdeorras","Ourense","12.8 (16:20)","-2.5 (08:40)","5.2","","","0","0","0","0","0"
"A Pobra de Trives","Ourense","9.3 (16:00)","-1.8 (08:30)","3.8","24 (12:30)","14 (13:30)","0","0","0","0","0"
"Chandrexa de Queixa","Ourense","12.0 (15:40)","-3.2 (09:20)","4.4","26 (15:10)","16 (16:20)","0","0","0","0","0"
"Folgoso do Courel","Lugo","14.3 (15:30)","-0.7 (03:30)","6.8","","","0","0","0","0","0"
"Monforte de Lemos","Lugo","15.9 (16:50)","-5.7 (08:50)","5.1","11 (17:30)","6 (17:30)","0","0","0","0","0"
"Ourense","Ourense","16.0 (17:00)","-2.8 (08:20)","6.6","11 (14:50)","5 (14:50)","0","0","0","0","0"
"Beariz","Ourense","15.0 (15:30)","-5.5 (08:40)","4.8","","","0","0","0","0","0"
"O Carballiño","Ourense","15.8 (15:20)","-2.9 (08:50)","6.5","18 (16:00)","8 (15:50)","0","0","0","0","0"
"Ribadavia","Ourense","15.6 (17:00)","-1.8 (09:40)","6.9","10 (11:20)","6 (11:20)","0","0","0","0","0"
"Allariz","Ourense","13.1 (17:40)","-4.0 (09:20)","4.6","","","0","0","0","0","0"
"A Cañiza","Pontevedra","14.7 (15:50)","2.3 (06:50)","8.5","","","0","0","0","0","0"
"Ponteareas, Canedo","Pontevedra","17.4 (16:30)","-2.1 (09:20)","7.6","","","0","0","0","0","0"
"O Rosal","Pontevedra","17.2 (16:20)","0.7 (08:40)","9","","","0","0","0","0","0"
"Xinzo de Limia","Ourense","12.0 (15:50)","-9.3 (09:10)","1.3","28 (15:30)","14 (16:30)","0","0","0","0","0"
"Muiños","Ourense","","","","","","","","","",""
"Santillana del Mar, Altamira","Cantabria","11.8 (15:10)","2.1 (08:10)","7","17 (05:20)","11 (07:10)","0","0","0","0","0"
"Vinuesa, Quintanarejo","Soria","10.6 (15:40)","-4.2 (09:00)","3.2","","","0","0","0","0","0"
"La Póveda de Soria, Barriomartín","Soria","9.5 (14:50)","-4.8 (07:40)","2.3","24 (13:10)","13 (15:40)","0","0","0","0","0"
"Soria","Soria","12.4 (15:20)","-4.9 (07:00)","3.7","27 (15:50)","12 (14:20)","0","0","0","0","0"
"Lubia","Soria","10.5 (14:20)","-4.2 (02:40)","3.2","29 (15:10)","18 (15:40)","0","0","0","0","0"
"Morón de Almazán","Soria","12.0 (15:50)","-8.6 (08:10)","1.7","26 (14:00)","19 (14:00)","0","0","0","0","0"
"La Riba de Escalote","Soria","9.8 (14:40)","-7.7 (08:40)","1.1","31 (15:00)","22 (12:10)","0","0","0","0","0"
"Ucero","Soria","11.9 (15:00)","-6.8 (08:50)","2.5","","","0","0","0","0","0"
"Burgo de Osma","Soria","11.5 (15:50)","-6.1 (08:40)","2.7","35 (14:20)","26 (12:50)","0","0","0","0","0"
"Liceras","Soria","10.7 (14:30)","-4.4 (07:30)","3.1","39 (12:30)","24 (12:40)","0","0","0","0","0"
"Coruña del Conde","Burgos","11.1 (16:10)","-0.7 (05:20)","5.2","39 (13:20)","26 (12:20)","0","0","0","0","0"
"Aranda de Duero","Burgos","11.4 (16:40)","-2.9 (04:10)","4.2","36 (15:20)","18 (15:30)","0","0","0","0","0"
"Fresno de Cantespino","Segovia","13.1 (16:00)","-6.1 (07:10)","3.5","29 (14:20)","15 (12:10)","0","0","0","0","0"
"Aldeanueva de Serrezuela","Segovia","11.1 (16:10)","0.5 (05:30)","5.8","24 (12:20)","17 (21:50)","0","0","0","0","0"
"La Pinilla, estación de esquí","Segovia","3.8 (14:00)","-1.5 (10:20)","1.1","82 (08:20)","43 (10:00)","0","0","0","0","0"
"Peñafiel","Valladolid","12.4 (15:50)","-5.6 (08:10)","3.4","","","0","0","0","0","0"
"Sardón de Duero","Valladolid","15.3 (17:40)","-6.1 (08:00)","4.6","22 (12:00)","10 (12:10)","0","0","0","0","0"
"Pedraza","Segovia","11.2 (14:50)","1.1 (06:50)","6.1","43 (10:40)","31 (10:40)","0","0","0","0","0"
"Cuéllar","Segovia","15.3 (15:20)","-9.3 (08:20)","3","23 (12:20)","16 (11:20)","0","0","0","0","0"
"Cervera de Pisuerga","Palencia","12.5 (15:00)","-1.9 (02:30)","5.3","22 (16:30)","14 (17:00)","0","0","0","0","0"
"Aguilar de Campoo","Palencia","10.5 (15:40)","-7.3 (08:40)","1.6","23 (13:20)","14 (16:10)","0","0","0","0","0"
"Villaeles de Valdavia","Palencia","10.9 (16:00)","-4.6 (07:10)","3.1","27 (16:40)","15 (13:00)","0","0","0","0","0"
"Villadiego","Burgos","11.2 (13:50)","-1.3 (02:30)","4.9","36 (20:40)","26 (20:50)","0","0","0","0","0"
"Pedrosa del Príncipe","Burgos","12.1 (15:50)","-5.5 (04:30)","3.3","25 (15:20)","13 (14:50)","0","0","0","0","0"
"Ólvega","Soria","12.7 (16:20)","-4.1 (08:40)","4.3","24 (15:00)","15 (14:50)","0","0","0","0","0"
"Palacios de la Sierra","Burgos","10.5 (15:00)","-6.4 (09:20)","2","41 (12:40)","25 (17:20)","0","0","0","0","0"
"Monterrubio de la Demanda","Burgos","10.4 (15:30)","-4.4 (08:10)","3","36 (15:10)","24 (14:20)","0","0","0","0","0"
"Villamayor de los Montes","Burgos","13.6 (16:20)","-2.3 (08:30)","5.7","32 (13:10)","17 (11:10)","0","0","0","0","0"
"Burgos Aeropuerto","Burgos","8.7 (15:00)","-6.3 (07:00)","1.2","34 (15:50)","26 (15:50)","0","0","0","0","0"
"Velilla del Río Carrión, Camporredondo de Alba","Palencia","6.9 (16:00)","-1.6 (08:20)","2.7","32 (12:40)","22 (21:20)","0","0","0","0","0"
"Carrión de los Condes","Palencia","11.8 (16:00)","-3.4 (01:40)","4.2","30 (12:10)","16 (13:50)","0","0","0","0","0"
"Autilla del Pino","Palencia","11.5 (15:40)","-3.0 (08:40)","4.3","28 (13:10)","19 (13:10)","0","0","0","0","0"
"Palencia","Palencia","13.2 (15:40)","-5.4 (07:40)","3.9","24 (14:40)","13 (14:40)","0","0","0","0","0"
"Valladolid","Valladolid","12.3 (16:10)","-2.5 (07:50)","4.9","13 (16:30)","6 (16:30)","0","0","0","0","0"
"Muñotello","Ávila","9.9 (15:20)","0.0 (06:40)","4.9","47 (23:59)","34 (23:59)","0","0","0","0","0"
"Ávila","Ávila","8.1 (16:00)","-1.8 (05:10)","3.2","42 (23:59)","22 (23:20)","0","0","0","0","0"
"Arevalo","Ávila","11.5 (17:00)","-4.8 (08:30)","3.3","16 (15:50)","11 (17:20)","0","0","0","0","0"
"Puerto de Navacerrada","Madrid","3.8 (15:00)","-3.8 (04:50)","0","62 (01:20)","36 (05:00)","0","0","0","0","0"
"Segovia","Segovia","10.0 (16:00)","-0.7 (07:40)","4.7","27 (09:00)","13 (09:00)","0","0","0","0","0"
"San Rafael","Segovia","","","","","","","","","",""
"Miguelañez","Segovia","","","","17 (21:50)","14 (21:50)","0","0","0","0","0"
"La Covatilla, estación de esquí","Salamanca","4.7 (13:20)","-6.4 (07:00)","-0.9","48 (23:10)","32 (23:10)","0","0","0","0","0"
"Olmedo, Depósito de Agua","Valladolid","11.9 (17:00)","-3.4 (08:20)","4.2","15 (13:30)","13 (21:40)","0","0","0","0","0"
"Rueda","Valladolid","10.4 (16:00)","-3.3 (09:00)","3.5","","","0","0","0","0","0"
"Rivilla de Barajas","Ávila","9.7 (15:20)","-0.3 (06:00)","4.7","39 (12:30)","28 (11:10)","0","0","0","0","0"
"Fuente el Sol","Valladolid","11.6 (16:40)","-5.6 (08:30)","3","18 (15:00)","11 (14:10)","0","0","0","0","0"
"Morales del Toro","Zamora","12.9 (16:20)","-5.4 (08:40)","3.7","21 (00:30)","17 (00:30)","0","0","0","0","0"
"Fuentesauco","Zamora","8.9 (16:30)","-4.1 (08:50)","2.4","22 (14:40)","15 (14:40)","0","0","0","0","0"
"Coreses","Zamora","10.8 (17:10)","-3.8 (08:30)","3.5","28 (00:10)","19 (00:10)","0","0","0","0","0"
"Santervás de la Vega, Villapún","Palencia","10.1 (16:10)","-2.0 (07:10)","4.1","33 (14:00)","22 (14:40)","0","0","0","0","0"
"Villalón de Campos","Valladolid","12.1 (16:40)","-3.2 (06:20)","4.5","27 (12:30)","14 (12:00)","0","0","0","0","0"
"Medina de Rioseco","Valladolid","11.8 (16:00)","-4.6 (05:50)","3.6","25 (23:30)","18 (23:20)","0","0","0","0","0"
"Villafáfila","Zamora","11.5 (17:00)","-4.6 (08:10)","3.5","21 (20:50)","15 (20:40)","0","0","0","0","0"
"Zamora","Zamora","9.8 (16:00)","-3.8 (09:20)","3","21 (10:50)","11 (10:50)","0","0","0","0","0"
"Riaño","León","10.4 (15:50)","-5.2 (06:10)","2.6","20 (17:00)","12 (17:10)","0","0","0","0","0"
